"ID","Meal Plan Description","Term Session Description","Entry Status Description","Room Location Description"
"090571443","25 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"060761757","Cardinal","Fall 2024","In Room","Barton Hall"
"060791797","Campanile","Fall 2024","History","Off Campus"
"000901935","Cardinal","Fall 2024","In Room","Larch Hall"
"100121100","100 Meal Blocks","Fall 2024","History","Off Campus"
"110681686","Cardinal","Fall 2024","In Room","Wallace Hall"
"110691686","Campanile","Fall 2024","History","Off Campus"
"120991976","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"130981927","Cardinal","Fall 2024","In Room","Roberts Hall"
"200811100","50 Meal Blocks","Fall 2024","History","Off Campus"
"280641553","Cardinal","Fall 2024","In Room","Larch Hall"
"260221681","Campanile","Fall 2024","In Room","Frederiksen Court"
"280661658","Cardinal","Fall 2024","In Room","Welch Hall"
"280751663","25 Meal Blocks","Fall 2024","History","Off Campus"
"210811801","100 Meal Blocks","Fall 2024","History","Off Campus"
"370141138","Campanile","Fall 2024","In Room","Martin Hall"
"340401407","Campanile","Fall 2024","History","Off Campus"
"390961853","Campanile","Fall 2024","In Room","Frederiksen Court"
"420061042","50 Meal Blocks","Fall 2024","Application","Off Campus"
"490171033","Cardinal","Fall 2024","In Room","Birch Hall"
"440311318","RA Plan","Fall 2024","In Room","Geoffroy Hall"
"430421437","Cardinal","Fall 2024","In Room","Friley Hall"
"470531431","Cardinal","Fall 2024","In Room","Helser Hall"
"440661699","Cardinal","Fall 2024","In Room","Oak Hall"
"470761630","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"490721684","100 Meal Blocks","Fall 2024","History","Off Campus"
"440751774","RA Plan","Fall 2024","In Room","Helser Hall"
"490821714","Cardinal","Fall 2024","In Room","Willow Hall"
"490961833","Campanile","Fall 2024","In Room","Frederiksen Court"
"530681667","50 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"580781651","Cardinal","Fall 2024","In Room","Martin Hall"
"650131119","Cardinal","Fall 2024","In Room","Friley Hall"
"690261113","Gold","Fall 2024","In Room","Friley Hall"
"730261217","Campanile","Fall 2024","In Room","Frederiksen Court"
"710351354","RA Plan","Fall 2024","In Room","Geoffroy Hall"
"760511400","Cardinal","Fall 2024","In Room","Friley Hall"
"790601533","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"700811875","Cardinal","Fall 2024","In Room","Buchanan Hall"
"820041016","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"820071084","Cardinal","Fall 2024","In Room","Wallace Hall"
"890471343","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"800591503","RA Plan","Fall 2024","In Room","Maple Hall"
"800611645","25 Meal Blocks","Fall 2024","In Room","University Village"
"810621675","Gold","Fall 2024","In Room","Buchanan Hall"
"900741157","Cardinal","Fall 2024","In Room","Friley Hall"
"930521537","50 Meal Blocks","Fall 2024","History","Off Campus"
"950611679","Campanile","Fall 2024","In Room","Buchanan Hall"
"910791767","Campanile","Fall 2024","History","Off Campus"
"970891710","Campanile","Fall 2024","History","Off Campus"
"980811793","Gold","Fall 2024","In Room","Elm Hall"
"970981959","Cardinal","Fall 2024","In Room","Frederiksen Court"
"270492486","100 Meal Blocks","Fall 2024","History","Off Campus"
"480912882","Cardinal","Fall 2024","In Room","Eaton Hall"
"530112147","Cardinal","Fall 2024","In Room","Willow Hall"
"500342384","100 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"540352358","Campanile","Fall 2024","In Room","Frederiksen Court"
"580542472","Cardinal","Fall 2024","In Room","Martin Hall"
"560502596","RA Plan","Fall 2024","In Room","Buchanan Hall"
"680152065","Cardinal","Fall 2024","In Room","Maple Hall"
"630112197","Cardinal","Fall 2024","In Room","Martin Hall"
"610352344","Cardinal","Fall 2024","In Room","Willow Hall"
"670682689","Campanile","Fall 2024","History","Off Campus"
"680712788","Cardinal","Fall 2024","In Room","Martin Hall"
"630972987","Gold","Fall 2024","In Room","Martin Hall"
"740022033","RA Plan","Fall 2024","In Room","Larch Hall"
"760792775","Campanile","Fall 2024","History","Off Campus"
"720882822","Cardinal","Fall 2024","In Room","Linden Hall"
"720992985","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"800222273","Cardinal","Fall 2024","In Room","Friley Hall"
"850322336","Campanile","Fall 2024","History","Off Campus"
"860392308","Cardinal","Fall 2024","In Room","Friley Hall"
"800442441","Gold","Fall 2024","In Room","Friley Hall"
"800442443","50 Meal Blocks","Fall 2024","History","Off Campus"
"810572590","50 Meal Blocks","Fall 2024","History","Off Campus"
"830032530","Cardinal","Fall 2024","History","Off Campus"
"840582597","RA Cardinal","Fall 2024","In Room","Maple Hall"
"800562689","Cardinal","Fall 2024","In Room","Willow Hall"
"810662603","Cardinal","Fall 2024","History","Off Campus"
"800882822","Cardinal","Fall 2024","In Room","Wilson Hall"
"840802807","Gold","Fall 2024","In Room","Friley Hall"
"810972984","Campanile","Fall 2024","In Room","Frederiksen Court"
"820942955","50 Meal Blocks","Fall 2024","History","Off Campus"
"850932948","Cardinal","Fall 2024","In Room","Maple Hall"
"850952968","Cardinal","Fall 2024","In Room","Maple Hall"
"870062970","Campanile","Fall 2024","In Room","Frederiksen Court"
"890002983","Gold","Fall 2024","In Room","Geoffroy Hall"
"920042065","100 Meal Blocks","Fall 2024","In Room","University Village"
"930022067","Cardinal","Fall 2024","In Room","Friley Hall"
"950052006","50 Meal Blocks","Fall 2024","History","Off Campus"
"960002029","100 Meal Blocks","Fall 2024","History","Off Campus"
"970152060","Cardinal","Fall 2024","In Room","Wilson Hall"
"940152116","Cardinal","Fall 2024","In Room","Frederiksen Court"
"960692608","Cardinal","Fall 2024","In Room","Maple Hall"
"960622649","Gold","Fall 2024","In Room","Willow Hall"
"980712646","Cardinal","Fall 2024","In Room","Helser Hall"
"900792763","50 Meal Blocks","Fall 2024","History","Off Campus"
"920742755","Cardinal","Fall 2024","In Room","Maple Hall"
"950752728","Cardinal","Fall 2024","In Room","Frederiksen Court"
"950842750","Cardinal","Fall 2024","In Room","Welch Hall"
"960812790","Cardinal","Fall 2024","In Room","Eaton Hall"
"980842721","100 Meal Blocks","Fall 2024","History","Off Campus"
"920912965","Gold","Fall 2024","In Room","Frederiksen Court"
"930992966","100 Meal Blocks","Fall 2024","In Room","University Village"
"950952997","Cardinal","Fall 2024","In Room","Eaton Hall"
"970012940","Cardinal","Fall 2024","In Room","Willow Hall"
"050073068","25 Meal Blocks","Fall 2024","History","Off Campus"
"060063057","Cardinal","Fall 2024","In Room","Willow Hall"
"040143176","Campanile","Fall 2024","In Room","Frederiksen Court"
"050193108","Cardinal","Fall 2024","In Room","Larch Hall"
"060593196","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"050223258","Cardinal","Fall 2024","In Room","Helser Hall"
"010523348","Campanile","Fall 2024","History","Off Campus"
"010733392","Cardinal","Fall 2024","In Room","Martin Hall"
"040423446","Campanile","Fall 2024","In Room","Frederiksen Court"
"090623512","100 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"090683572","Cardinal","Fall 2024","History","Off Campus"
"000783712","Cardinal","Fall 2024","In Room","Friley Hall"
"080043901","Campanile","Fall 2024","In Room","Freeman Hall"
"130083065","50 Meal Blocks","Fall 2024","History","Off Campus"
"110123124","Cardinal","Fall 2024","In Room","Martin Hall"
"140833857","Cardinal","Fall 2024","In Room","Friley Hall"
"200123154","Cardinal","Fall 2024","In Room","Friley Hall"
"240153142","Cardinal","Fall 2024","In Room","Friley Hall"
"270053189","Cardinal","Fall 2024","In Room","Barton Hall"
"260293224","Cardinal","Fall 2024","In Room","Friley Hall"
"270223286","Gold","Fall 2024","In Room","Eaton Hall"
"220463450","Cardinal","Fall 2024","In Room","Wilson Hall"
"220403455","Campanile","Fall 2024","In Room","Frederiksen Court"
"250403458","Gold","Fall 2024","History","Off Campus"
"290723533","Campanile","Fall 2024","History","Off Campus"
"230863855","Campanile","Fall 2024","In Room","Helser Hall"
"210993933","Cardinal","Fall 2024","In Room","Helser Hall"
"330053034","25 Meal Blocks","Fall 2024","History","Off Campus"
"340113148","Campanile","Fall 2024","In Room","Frederiksen Court"
"390293191","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"370563480","Campanile","Fall 2024","History","Off Campus"
"310503564","Cardinal","Fall 2024","In Room","Friley Hall"
"390023992","Cardinal","Fall 2024","In Room","Maple Hall"
"490023970","Gold","Fall 2024","In Room","Wilson Hall"
"530143141","Cardinal","Fall 2024","In Room","Helser Hall"
"510403450","Cardinal","Fall 2024","In Room","Frederiksen Court"
"590533527","Campanile","Fall 2024","In Room","Frederiksen Court"
"520723765","Campanile","Fall 2024","In Room","Geoffroy Hall"
"590893771","Cardinal","Fall 2024","In Room","Friley Hall"
"540803875","Cardinal","Fall 2024","In Room","Helser Hall"
"560933987","25 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"680063039","Cardinal","Fall 2024","In Room","Frederiksen Court"
"660193194","100 Meal Blocks","Fall 2024","History","Off Campus"
"610613694","Cardinal","Fall 2024","In Room","Helser Hall"
"690783671","50 Meal Blocks","Fall 2024","History","Off Campus"
"640793715","Cardinal","Fall 2024","In Room","Friley Hall"
"640803826","Cardinal","Fall 2024","In Room","Willow Hall"
"620903995","Cardinal","Fall 2024","In Room","Eaton Hall"
"650943943","Cardinal","Fall 2024","In Room","Helser Hall"
"720023085","Gold","Fall 2024","In Room","Larch Hall"
"770023035","Cardinal","Fall 2024","In Room","Linden Hall"
"770023065","Gold","Fall 2024","In Room","Maple Hall"
"720183174","Gold","Fall 2024","In Room","Helser Hall"
"760263274","25 Meal Blocks","Fall 2024","History","Off Campus"
"790383200","Cardinal","Fall 2024","In Room","Friley Hall"
"730593503","Cardinal","Fall 2024","In Room","Frederiksen Court"
"780663560","Campanile","Fall 2024","In Room","Frederiksen Court"
"800143112","Campanile","Fall 2024","In Room","Frederiksen Court"
"830853815","Cardinal","Fall 2024","In Room","Wilson Hall"
"880113862","Cardinal","Fall 2024","In Room","Friley Hall"
"820923940","Campanile","Fall 2024","In Room","University Village"
"930033045","Campanile","Fall 2024","In Room","Frederiksen Court"
"920383394","Cardinal","Fall 2024","In Room","Larch Hall"
"990323327","100 Meal Blocks","Fall 2024","History","Off Campus"
"940633646","Gold","Fall 2024","In Room","Willow Hall"
"910783763","Cardinal","Fall 2024","In Room","Eaton Hall"
"930713745","RA Plan","Fall 2024","In Room","Eaton Hall"
"940793726","Cardinal","Fall 2024","In Room","Maple Hall"
"030174144","Campanile","Fall 2024","In Room","Frederiksen Court"
"090104177","Campanile","Fall 2024","History","Off Campus"
"080464445","Cardinal","Fall 2024","In Room","Martin Hall"
"030514566","Gold","Fall 2024","In Room","Friley Hall"
"060224572","Campanile","Fall 2024","In Room","Larch Hall"
"070794728","50 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"160224098","Cardinal","Fall 2024","In Room","Friley Hall"
"120134103","Cardinal","Fall 2024","In Room","Wallace Hall"
"120434413","Cardinal","Fall 2024","In Room","Martin Hall"
"150924664","Cardinal","Fall 2024","In Room","Wilson Hall"
"100744751","Cardinal","Fall 2024","In Room","Willow Hall"
"100704868","RA Plan","Fall 2024","In Room","Geoffroy Hall"
"210014022","Campanile","Fall 2024","History","Off Campus"
"230014044","Campanile","Fall 2024","In Room","Frederiksen Court"
"240134186","Cardinal","Fall 2024","In Room","Larch Hall"
"260234278","Campanile","Fall 2024","In Room","Frederiksen Court"
"220424495","Cardinal","Fall 2024","In Room","Friley Hall"
"230404405","Gold","Fall 2024","In Room","Helser Hall"
"220524619","Gold","Fall 2024","In Room","Frederiksen Court"
"210794888","Gold","Fall 2024","In Room","Wilson Hall"
"310144218","100 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"390424320","Gold","Fall 2024","In Room","Friley Hall"
"300644692","Gold","Fall 2024","In Room","Friley Hall"
"390744600","Campanile","Fall 2024","In Room","Frederiksen Court"
"330724720","Cardinal","Fall 2024","In Room","University Village"
"360774716","Cardinal","Fall 2024","In Room","Maple Hall"
"450014047","25 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"490084079","50 Meal Blocks","Fall 2024","History","Off Campus"
"420214244","Cardinal","Fall 2024","In Room","Elm Hall"
"460274253","Campanile","Fall 2024","In Room","Wilson Hall"
"420364373","25 Meal Blocks","Fall 2024","History","Off Campus"
"470414449","Cardinal","Fall 2024","In Room","Helser Hall"
"440784761","Campanile","Fall 2024","In Room","Martin Hall"
"400884811","Gold","Fall 2024","In Room","Buchanan Hall"
"410714828","Gold","Fall 2024","In Room","Geoffroy Hall"
"450894896","50 Meal Blocks","Fall 2024","Application","Off Campus"
"480844859","Cardinal","Fall 2024","In Room","Oak Hall"
"500164192","Cardinal","Fall 2024","In Room","Larch Hall"
"560284296","Campanile","Fall 2024","History","Off Campus"
"580214205","Gold","Fall 2024","In Room","Birch Hall"
"580564589","100 Meal Blocks","Fall 2024","History","Off Campus"
"550724742","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"620194143","Gold","Fall 2024","In Room","Buchanan Hall"
"690554424","Cardinal","Fall 2024","In Room","Maple Hall"
"650694692","Cardinal","Fall 2024","In Room","Elm Hall"
"620714724","100 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"680854848","Gold","Fall 2024","History","Off Campus"
"650934987","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"790954357","Cardinal","Fall 2024","In Room","Buchanan Hall"
"710564638","Cardinal","Fall 2024","In Room","Friley Hall"
"750684686","Cardinal","Fall 2024","In Room","Willow Hall"
"750794796","Gold","Fall 2024","In Room","Welch Hall"
"760904926","Cardinal","Fall 2024","History","Off Campus"
"830124174","Campanile","Fall 2024","In Room","Wilson Hall"
"870324328","Cardinal","Fall 2024","In Room","Elm Hall"
"880364318","Cardinal","Fall 2024","In Room","Larch Hall"
"810384407","Campanile","Fall 2024","In Room","Frederiksen Court"
"830404481","Cardinal","Fall 2024","In Room","Friley Hall"
"850764715","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"860724743","Cardinal","Fall 2024","Application","Off Campus"
"830864840","Cardinal","Fall 2024","In Room","Buchanan Hall"
"880884889","Cardinal","Fall 2024","In Room","Willow Hall"
"830864919","Campanile","Fall 2024","In Room","Frederiksen Court"
"830304933","Campanile","Fall 2024","In Room","Frederiksen Court"
"930154131","50 Meal Blocks","Fall 2024","History","Off Campus"
"960774757","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"090235249","25 Meal Blocks","Fall 2024","Application","Off Campus"
"090225289","50 Meal Blocks","Fall 2024","In Room","University Village"
"050625655","Cardinal","Fall 2024","In Room","Frederiksen Court"
"080925949","Cardinal","Fall 2024","In Room","Eaton Hall"
"110395352","Cardinal","Fall 2024","In Room","Larch Hall"
"160395342","100 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"240145155","Cardinal","Fall 2024","In Room","Eaton Hall"
"290265209","Cardinal","Fall 2024","In Room","Maple Hall"
"250595505","Campanile","Fall 2024","In Room","University Village"
"240845834","Gold","Fall 2024","In Room","Buchanan Hall"
"240945934","Cardinal","Fall 2024","In Room","Friley Hall"
"250975915","Cardinal","Fall 2024","History","Off Campus"
"300985059","Cardinal","Fall 2024","In Room","Buchanan Hall"
"330075033","Cardinal","Fall 2024","In Room","Friley Hall"
"360175126","Cardinal","Fall 2024","In Room","Birch Hall"
"340355350","50 Meal Blocks","Fall 2024","History","Off Campus"
"310465537","Campanile","Fall 2024","In Room","Martin Hall"
"310435538","Cardinal","Fall 2024","In Room","Martin Hall"
"320455558","50 Meal Blocks","Fall 2024","In Room","Linden Hall"
"310655611","Campanile","Fall 2024","In Room","Frederiksen Court"
"390755709","Cardinal","Fall 2024","In Room","Willow Hall"
"360955967","Cardinal","Fall 2024","In Room","Buchanan Hall"
"440205275","Cardinal","Fall 2024","In Room","Friley Hall"
"440765692","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"400795750","Cardinal","Fall 2024","In Room","Elm Hall"
"430725733","100 Meal Blocks","Fall 2024","In Room","University Village"
"450985955","Campanile","Fall 2024","In Room","Frederiksen Court"
"500015060","Campanile","Fall 2024","In Room","Frederiksen Court"
"530155041","50 Meal Blocks","Fall 2024","History","Off Campus"
"530685087","Campanile","Fall 2024","History","Off Campus"
"570095037","100 Meal Blocks","Fall 2024","History","Off Campus"
"580025038","Cardinal","Fall 2024","In Room","Willow Hall"
"570465350","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"560485466","Gold","Fall 2024","In Room","Geoffroy Hall"
"530995933","Cardinal","Fall 2024","In Room","Helser Hall"
"600375360","Cardinal","Fall 2024","In Room","Elm Hall"
"770265257","100 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"790515599","Campanile","Fall 2024","History","Off Campus"
"720675662","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"880005018","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"820175111","Cardinal","Fall 2024","In Room","Willow Hall"
"830265273","Campanile","Fall 2024","In Room","Friley Hall"
"840215214","Cardinal","Fall 2024","In Room","Willow Hall"
"810385351","Campanile","Fall 2024","In Room","Frederiksen Court"
"820315331","50 Meal Blocks","Fall 2024","History","Off Campus"
"830315384","100 Meal Blocks","Fall 2024","History","Off Campus"
"810465492","Campanile","Fall 2024","In Room","Frederiksen Court"
"830735777","100 Meal Blocks","Fall 2024","History","Off Campus"
"880865878","RA Plan","Fall 2024","In Room","Buchanan Hall"
"830885908","Gold","Fall 2024","Application","Off Campus"
"880915938","Cardinal","Fall 2024","In Room","Maple Hall"
"940225265","Cardinal","Fall 2024","In Room","Buchanan Hall"
"960575554","Cardinal","Fall 2024","In Room","Larch Hall"
"970665647","Cardinal","Fall 2024","In Room","Maple Hall"
"950805831","Gold","Fall 2024","In Room","Frederiksen Court"
"960815876","Cardinal","Fall 2024","In Room","Eaton Hall"
"920935971","Cardinal","Fall 2024","In Room","Helser Hall"
"070176112","25 Meal Blocks","Fall 2024","Application","Off Campus"
"040236224","Gold","Fall 2024","In Room","Friley Hall"
"010336477","Cardinal","Fall 2024","In Room","Friley Hall"
"050506535","Campanile","Fall 2024","History","Off Campus"
"090546514","Cardinal","Fall 2024","History","Off Campus"
"090646685","Cardinal","Fall 2024","In Room","Buchanan Hall"
"140036034","Gold","Fall 2024","In Room","Frederiksen Court"
"110206201","Cardinal","Fall 2024","In Room","Martin Hall"
"170376367","Cardinal","Fall 2024","In Room","Larch Hall"
"110536571","Cardinal","Fall 2024","In Room","Martin Hall"
"110566597","Campanile","Fall 2024","In Room","University Village"
"140626603","50 Meal Blocks","Fall 2024","History","Off Campus"
"150656604","Gold","Fall 2024","In Room","Elm Hall"
"140796839","25 Meal Blocks","Fall 2024","History","Off Campus"
"150806885","Campanile","Fall 2024","In Room","Frederiksen Court"
"230186132","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"210216231","Cardinal","Fall 2024","In Room","Buchanan Hall"
"230466402","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"290656699","100 Meal Blocks","Fall 2024","History","Off Campus"
"280986988","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"320096040","Campanile","Fall 2024","In Room","Friley Hall"
"390156179","Campanile","Fall 2024","In Room","Frederiksen Court"
"370436487","Cardinal","Fall 2024","In Room","Wilson Hall"
"310586500","Campanile","Fall 2024","In Room","Lyon Hall"
"380516507","50 Meal Blocks","Fall 2024","History","Off Campus"
"470006067","Gold","Fall 2024","In Room","Roberts Hall"
"490186198","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"430166238","Cardinal","Fall 2024","In Room","Helser Hall"
"410616681","Campanile","Fall 2024","Application","Off Campus"
"410946717","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"410936900","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"410956910","Cardinal","Fall 2024","In Room","Elm Hall"
"450926900","Cardinal","Fall 2024","In Room","Frederiksen Court"
"560266245","100 Meal Blocks","Fall 2024","History","Off Campus"
"520526571","Cardinal","Fall 2024","In Room","Wallace Hall"
"500576649","100 Meal Blocks","Fall 2024","History","Off Campus"
"550656695","Cardinal","Fall 2024","In Room","Martin Hall"
"560756787","Campanile","Fall 2024","History","Off Campus"
"560976955","100 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"660436465","Gold","Fall 2024","History","Off Campus"
"650816737","Campanile","Fall 2024","In Room","Oak Hall"
"640976803","Cardinal","Fall 2024","In Room","Maple Hall"
"640866999","Cardinal","Fall 2024","In Room","Wallace Hall"
"650936920","Cardinal","Fall 2024","In Room","Wilson Hall"
"760026094","RA Plan","Fall 2024","In Room","Friley Hall"
"780146147","RA Plan","Fall 2024","In Room","Freeman Hall"
"770266272","Cardinal","Fall 2024","In Room","Linden Hall"
"740356313","Campanile","Fall 2024","In Room","Wilson Hall"
"730516531","Cardinal","Fall 2024","In Room","Schilletter Village"
"740476589","50 Meal Blocks","Fall 2024","History","Off Campus"
"710676641","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"730736701","Campanile","Fall 2024","In Room","University Village"
"780726778","Cardinal","Fall 2024","In Room","Willow Hall"
"720726877","Cardinal","Fall 2024","History","Off Campus"
"770966972","100 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"880036026","Cardinal","Fall 2024","In Room","Wallace Hall"
"830366286","100 Meal Blocks","Fall 2024","History","Off Campus"
"850226240","25 Meal Blocks","Fall 2024","History","Off Campus"
"820256329","25 Meal Blocks","Fall 2024","History","Off Campus"
"860326335","Cardinal","Fall 2024","In Room","Maple Hall"
"880526577","Cardinal","Fall 2024","In Room","Helser Hall"
"880746776","25 Meal Blocks","Fall 2024","History","Off Campus"
"860946871","Cardinal","Fall 2024","In Room","Willow Hall"
"910026080","Cardinal","Fall 2024","In Room","Lyon Hall"
"950076084","Cardinal","Fall 2024","In Room","Geoffroy Hall"
"990256120","50 Meal Blocks","Fall 2024","Application","Off Campus"
"900356468","100 Meal Blocks","Fall 2024","In Room","Frederiksen Court"
"940686655","Cardinal","Fall 2024","In Room","Helser Hall"
"050177103","Gold","Fall 2024","In Room","Maple Hall"
"000117255","Cardinal","Fall 2024","In Room","Friley Hall"
"020137237","Cardinal","Fall 2024","In Room","Martin Hall"
"040597668","Cardinal","Fall 2024","In Room","Wallace Hall"
"060687614","Cardinal","Fall 2024","In Room","Friley Hall"
"010667739","Gold","Fall 2024","In Room","Friley Hall"
"010827880","Cardinal","Fall 2024","In Room","Buchanan Hall"
"150177113","Cardinal","Fall 2024","In Room","Friley Hall"
"180117147","Campanile","Fall 2024","In Room","Friley Hall"
"180187177","Gold","Fall 2024","In Room","Maple Hall"
"100337475","Campanile","Fall 2024","History","Off Campus"
"130667612","Cardinal","Fall 2024","In Room","Maple Hall"
"130577667","Campanile","Fall 2024","In Room","Frederiksen Court"
"150657633","Cardinal","Fall 2024","In Room","Roberts Hall"
"100617748","100 Meal Blocks","Fall 2024","History","Off Campus"
"130907910","Campanile","Fall 2024","History","Off Campus"
"260587040","Cardinal","Fall 2024","In Room","Eaton Hall"
